,word,pos,lemma
0,South,NP,South
1,American,NP,American
2,parrot,NN,parrot
3,talking,VVG,talk
4,and,CC,and
5,screeching,VVG,screech
6,Cock-a-doodle-doo,NN,cock-a-doodle-doo
7,ships,NNS,ship
8,sirens,NNS,siren
9,sounded,VVD,sound
10,Hip,JJ,hip
11,hip,NN,hip
12,hooray,NNS,hooray
13,50,CD,@card@
14,people,NNS,people
15,20-30,CD,@card@
16,years,NNS,year
17,old,JJ,old
18,Interior,NP,Interior
19,Mama,NN,mama
20,doll,NN,doll
21,Mama,NN,mama
22,doll,NN,doll
23,Mama,NN,mama
24,doll,NN,doll
25,Snow,NN,snow
26,surface,NN,surface
27,grinder,NN,grinder
28,operating,VVG,operate
29,at,IN,at
30,steel,NN,steel
31,works,VVZ,work
32,1969,CD,@card@
33,Suzy,NP,Suzy
34,Sing-a-Song,NP,Sing-a-Song
35,Singing,NN,singing
36,Doll,NP,Doll
37,Record,NP,Record
38,Frere,NP,Frere
39,Jacques,NP,Jacques
40,Suzy,NP,Suzy
41,Sing-a-Song,NP,Sing-a-Song
42,Singing,NN,singing
43,Doll,NP,Doll
44,Record,NP,Record
45,It,PP,it
46,s,VVZ,s
47,raining,VVG,rain
48,it,PP,it
49,s,NNS,s
50,pouring,VVG,pour
51,/,SYM,/
52,Round,NP,Round
53,and,CC,and
54,round,VV,round
55,the,DT,the
56,garden,NN,garden
57,Suzy,NP,Suzy
58,Sing-a-Song,NP,Sing-a-Song
59,Singing,NN,singing
60,Doll,NP,Doll
61,Record,NP,Record
62,Oranges,NNS,orange
63,and,CC,and
64,Lemons,NP,Lemons
65,Suzy,NP,Suzy
66,Sing-a-Song,NP,Sing-a-Song
67,Singing,NN,singing
68,Doll,NP,Doll
69,Record,NP,Record
70,Polly,NP,Polly
71,put,VVD,put
72,the,DT,the
73,kettle,NN,kettle
74,on,RB,on
75,/,SYM,/
76,Grand,NP,Grand
77,old,JJ,old
78,Duke,NP,Duke
79,of,IN,of
80,York,NP,York
81,Suzy,NP,Suzy
82,Sing-a-Song,NP,Sing-a-Song
83,Singing,NN,singing
84,Doll,NP,Doll
85,Record,NP,Record
86,spoken,VVN,speak
87,phrases,NNS,phrase
88,Suzy,NP,Suzy
89,Sing-a-Song,NP,Sing-a-Song
90,Singing,NN,singing
91,Doll,NP,Doll
92,Record,NP,Record
93,tongue,NN,tongue
94,twister,NN,twister
95,said,VVD,say
96,twice,RB,twice
97,303,CD,@card@
98,Rifle,NP,Rifle
99,firing,NN,firing
100,303,CD,@card@
101,Rifle,NP,Rifle
102,firing,NN,firing
103,303,CD,@card@
104,Rifle,NP,Rifle
105,firing,NN,firing
106,1,CD,@card@
107,person,NN,person
108,clambering,VVG,clamber
109,over,IN,over
110,loose,JJ,loose
111,debris,NN,debris
112,1,CD,@card@
113,stroke,NN,stroke
114,on,IN,on
115,cymbals,NNS,cymbal
116,1,CD,@card@
117,stroke,NN,stroke
118,on,IN,on
119,cymbals,NNS,cymbal
120,1,CD,@card@
121,strokes,NNS,stroke
122,on,IN,on
123,a,DT,a
124,medium,JJ,medium
125,gong,NN,gong
126,10-ton,NP,10-ton
127,Travelling,VVG,travel
128,Crane,NP,Crane
129,hoist,NN,hoist
130,traverses,VVZ,traverse
131,shop,NN,shop
132,floor,NN,floor
133,Recorded,VVN,record
134,in,IN,in
135,cab,NN,cab
136,100,CD,@card@
137,men,NNS,man
138,prolonged,JJ,prolonged
139,cheer,NN,cheer
140,100,CD,@card@
141,men,NNS,man
142,prolonged,JJ,prolonged
143,cheer,NN,cheer
144,100,CD,@card@
145,men,NNS,man
146,single,JJ,single
147,cheer,NN,cheer
148,100,CD,@card@
149,men,NNS,man
150,single,JJ,single
151,cheer,NN,cheer
152,100,CD,@card@
153,men,NNS,man
154,single,JJ,single
155,cheer,NN,cheer
156,100,CD,@card@
157,men,NNS,man
158,single,JJ,single
159,cheer,NN,cheer
160,100,CD,@card@
161,men,NNS,man
162,single,JJ,single
163,cheer,NN,cheer
164,100,CD,@card@
165,muskets,NNS,musket
166,firing,VVG,fire
167,continuously,RB,continuously
168,Studio,NN,studio
169,recording,NN,recording
170,100,CD,@card@
171,rifles,NNS,rifle
172,firing,VVG,fire
173,rapidly,RB,rapidly
174,Studio,NN,studio
175,recording,NN,recording
176,105mm,NP,105mm
177,shells,NNS,shell
178,fired,VVN,fire
179,with,IN,with
180,vehicle,NN,vehicle
181,noise,NN,noise
182,&,CC,&
183,some,DT,some
184,voices,NNS,voice
185,in,IN,in
186,background,NN,background
187,12,CD,@card@
188,months,NNS,month
189,old,JJ,old
190,;,:,;
191,laughing,VVG,laugh
192,&,CC,&
193,trying,VVG,try
194,to,TO,to
195,talk,VV,talk
196,baby,NN,baby
197,boy,NN,boy
198,12,CD,@card@
199,week-old,JJ,week-old
200,baby,NN,baby
201,girl,NN,girl
202,fretful,JJ,fretful
203,cries,NNS,cry
204,12,CD,@card@
205,week-old,JJ,week-old
206,baby,NN,baby
207,girl,NN,girl
208,gurgles,NNS,gurgle
209,with,IN,with
210,cough,NN,cough
211,at,IN,at
212,end,NN,end
213,12-bore,JJ,12-bore
214,Shotgun,JJ,shotgun
215,load,NN,load
216,&,CC,&
217,single,JJ,single
218,shot,NN,shot
219,12-bore,JJ,12-bore
220,Shotgun,JJ,shotgun
221,load,NN,load
222,shot,NN,shot
223,&,CC,&
224,cartridge,NN,cartridge
225,ejected,VVD,eject
226,12-bore,JJ,12-bore
227,Shotgun,JJ,shotgun
228,single,JJ,single
229,shot,NN,shot
230,12-bore,JJ,12-bore
231,Shotgun,JJ,shotgun
232,single,JJ,single
